Id,SalePrice
1461,124369.01
1462,153538.53
1463,188050.03
1464,200327.02
1465,200433.81
1466,174698.95
1467,174698.95
1468,164703.3
1469,188050.03
1470,124369.01
1471,194214.34
1472,89336.39
1473,93550.305
1474,156272.45
1475,122145.14
1476,438552.12
1477,322197.25
1478,278982.22
1479,319160.47
1480,502048.72
1481,351978.78
1482,230621.58
1483,174698.95
1484,173558.6
1485,178096.05
1486,193884.2
1487,371542.88
1488,237802.19
1489,217390.78
1490,200433.81
1491,187136.7
1492,99671.586
1493,189903.33
1494,292222.28
1495,284016.25
1496,231181.11
1497,179236.4
1498,153538.53
1499,153538.53
1500,150985.56
1501,173558.6
1502,151939.95
1503,319160.47
1504,230621.58
1505,217172.86
1506,200433.81
1507,252002.7
1508,210120.5
1509,164703.3
1510,140637.52
1511,147960.23
1512,172944.2
1513,148936.7
1514,165992.12
1515,197659.6
1516,149765.67
1517,174698.95
1518,140637.52
1519,217172.86
1520,133669.98
1521,131216.5
1522,153538.53
1523,120058.1
1524,127304.49
1525,121915.516
1526,113031.984
1527,108167.44
1528,126964.63
1529,144691.02
1530,167432.33
1531,94487.92
1532,99962.85
1533,140964.19
1534,131462.6
1535,154164.33
1536,111967.24
1537,55838.39
1538,174698.95
1539,191034.2
1540,102738.555
1541,150092.34
1542,134427.11
1543,226137.08
1544,80346.87
1545,108397.06
1546,128668.84
1547,122283.59
1548,124598.63
1549,108397.06
1550,137220.83
1551,113654.195
1552,131468.81
1553,150371.17
1554,110701.22
1555,175219.8
1556,88801.51
1557,97762.74
1558,99581.23
1559,77091.08
1560,130012.07
1561,147960.23
1562,140637.52
1563,123453.11
1564,165892.6
1565,150371.17
1566,235654.52
1567,79513.76
1568,233470.28
1569,148670.23
1570,134336.89
1571,134010.22
1572,150092.34
1573,297043.56
1574,124974.05
1575,204911.44
1576,206345.12
1577,223869.36
1578,149577.38
1579,149180.12
1580,192794.1
1581,149765.67
1582,131462.6
1583,317484.97
1584,219780.28
1585,140637.52
1586,92916.2
1587,99962.85
1588,150371.17
1589,102508.93
1590,141857.4
1591,99962.85
1592,126594.5
1593,124974.05
1594,142520.3
1595,104898.18
1596,255325.53
1597,190816.66
1598,203392.38
1599,173329.53
1600,186996.34
1601,77594.21
1602,120287.73
1603,90210.016
1604,267849.3
1605,253014.22
1606,174698.95
1607,201796.42
1608,206904.66
1609,211358.95
1610,150985.56
1611,152266.62
1612,174698.95
1613,166587.67
1614,116420.41
1615,97214.305
1616,79819.125
1617,93550.305
1618,129994.945
1619,137217.25
1620,165843.66
1621,141243.02
1622,147960.23
1623,266197.75
1624,211663.02
1625,124598.63
1626,164703.3
1627,188050.03
1628,292222.28
1629,174698.95
1630,336621.44
1631,219780.28
1632,255170.17
1633,173150.9
1634,179236.4
1635,178096.05
1636,157346.16
1637,179236.4
1638,200327.02
1639,187136.7
1640,265724.53
1641,160056.05
1642,231181.11
1643,219007.58
1644,230621.58
1645,191364.34
1646,152924.14
1647,165892.6
1648,137826.33
1649,136602.86
1650,117669.14
1651,129284.95
1652,96402.33
1653,96402.33
1654,149765.67
1655,145031.25
1656,152464.83
1657,150092.34
1658,153538.53
1659,126594.5
1660,150371.17
1661,414856.53
1662,401151.72
1663,400475.97
1664,502513.22
1665,306729.0
1666,306729.0
1667,414909.16
1668,339794.25
1669,293269.9
1670,350200.03
